波长/nm,前视相机PAN,B1,B2 ,B3,B4
798,0.884,0.009,0.003,0.003,0.965
799,0.881,0.009,0.003,0.003,0.965
800,0.878,0.01,0.003,0.003,0.966
801,0.876,0.01,0.003,0.003,0.969
802,0.874,0.01,0.004,0.003,0.973
803,0.873,0.01,0.004,0.003,0.976
804,0.871,0.011,0.004,0.003,0.98
805,0.869,0.011,0.004,0.003,0.984
806,0.869,0.01,0.004,0.003,0.987
807,0.869,0.009,0.004,0.003,0.99
808,0.869,0.009,0.004,0.003,0.993
809,0.868,0.008,0.003,0.003,0.997
810,0.868,0.007,0.003,0.003,1
811,0.867,0.007,0.003,0.002,0.999
812,0.865,0.007,0.003,0.002,0.998
813,0.863,0.006,0.003,0.002,0.997
814,0.862,0.006,0.002,0.002,0.996
815,0.86,0.006,0.002,0.002,0.995
816,0.858,0.006,0.002,0.002,0.994
817,0.856,0.006,0.002,0.002,0.993
818,0.854,0.006,0.002,0.002,0.991
819,0.852,0.006,0.002,0.002,0.99
820,0.849,0.006,0.002,0.002,0.989
821,0.846,0.006,0.002,0.002,0.985
822,0.843,0.006,0.002,0.002,0.982
823,0.84,0.006,0.002,0.002,0.979
824,0.836,0.006,0.001,0.002,0.976
825,0.833,0.006,0.001,0.002,0.972
826,0.831,0.006,0.002,0.002,0.967
827,0.829,0.006,0.002,0.002,0.963
828,0.826,0.006,0.002,0.002,0.958
829,0.824,0.006,0.002,0.002,0.953
830,0.822,0.006,0.002,0.002,0.948
831,0.822,0.006,0.002,0.002,0.942
832,0.822,0.006,0.002,0.002,0.936
833,0.822,0.006,0.002,0.002,0.93
834,0.822,0.006,0.002,0.002,0.924
835,0.822,0.006,0.001,0.002,0.918
836,0.825,0.006,0.002,0.002,0.913
837,0.827,0.006,0.002,0.002,0.908
838,0.83,0.006,0.002,0.002,0.902
839,0.832,0.005,0.002,0.002,0.897
840,0.835,0.005,0.002,0.002,0.892
841,0.837,0.005,0.002,0.002,0.888
842,0.84,0.005,0.002,0.002,0.884
843,0.842,0.006,0.002,0.002,0.88
844,0.844,0.006,0.002,0.002,0.876
845,0.847,0.006,0.002,0.002,0.872
846,0.848,0.006,0.002,0.002,0.871
847,0.85,0.006,0.002,0.002,0.869
848,0.852,0.005,0.002,0.002,0.868
849,0.853,0.005,0.002,0.002,0.866
850,0.855,0.005,0.002,0.002,0.865
851,0.854,0.005,0.002,0.002,0.862
852,0.854,0.005,0.002,0.002,0.86
853,0.853,0.005,0.002,0.002,0.857
854,0.852,0.005,0.002,0.002,0.855
855,0.851,0.005,0.002,0.002,0.852
856,0.85,0.005,0.002,0.002,0.848
857,0.848,0.005,0.002,0.002,0.843
858,0.846,0.005,0.002,0.002,0.839
859,0.845,0.005,0.002,0.002,0.834
860,0.843,0.005,0.002,0.002,0.829
861,0.841,0.005,0.002,0.002,0.823
862,0.839,0.005,0.002,0.002,0.817
863,0.837,0.004,0.002,0.002,0.812
864,0.835,0.004,0.002,0.002,0.806
865,0.833,0.004,0.002,0.002,0.8
866,0.831,0.004,0.001,0.002,0.797
867,0.83,0.004,0.001,0.002,0.794
868,0.828,0.004,0.001,0.002,0.791
869,0.826,0.004,0.001,0.002,0.788
870,0.825,0.004,0.001,0.002,0.785
871,0.821,0.004,0.001,0.002,0.784
872,0.817,0.004,0.001,0.002,0.784
873,0.814,0.004,0.001,0.002,0.783
874,0.81,0.004,0.001,0.001,0.783
875,0.806,0.004,0.001,0.001,0.783
876,0.802,0.004,0.001,0.001,0.783
877,0.798,0.004,0.001,0.001,0.784
878,0.794,0.004,0.001,0.001,0.784
