spec,PAN,B1,B2,B3,B4
575,4.34E-01,1.92E-02,9.25E-01,1.25E-02,7.30E-03
576,4.36E-01,1.97E-02,9.22E-01,1.36E-02,7.30E-03
577,4.36E-01,2.02E-02,9.17E-01,1.46E-02,7.30E-03
578,4.36E-01,2.07E-02,9.14E-01,1.56E-02,7.30E-03
579,4.35E-01,2.07E-02,9.10E-01,1.56E-02,7.80E-03
580,4.33E-01,2.07E-02,9.07E-01,1.56E-02,8.30E-03
581,4.31E-01,2.07E-02,9.04E-01,1.45E-02,8.80E-03
582,4.29E-01,2.07E-02,9.00E-01,1.35E-02,9.30E-03
583,4.26E-01,2.01E-02,8.99E-01,1.25E-02,1.03E-02
584,4.23E-01,1.96E-02,8.97E-01,1.14E-02,1.14E-02
585,4.21E-01,1.91E-02,8.90E-01,9.80E-03,1.19E-02
586,4.19E-01,1.85E-02,8.84E-01,8.30E-03,1.24E-02
587,4.18E-01,1.79E-02,8.58E-01,7.80E-03,1.24E-02
588,4.17E-01,1.73E-02,8.29E-01,7.20E-03,1.24E-02
589,4.16E-01,1.66E-02,7.54E-01,6.70E-03,1.24E-02
590,4.15E-01,1.57E-02,6.72E-01,6.20E-03,1.24E-02
591,4.15E-01,1.50E-02,5.51E-01,5.70E-03,1.23E-02
592,4.15E-01,1.39E-02,4.26E-01,5.20E-03,1.23E-02
593,4.15E-01,1.24E-02,3.05E-01,4.60E-03,1.13E-02
594,4.15E-01,1.06E-02,1.96E-01,4.10E-03,1.03E-02
595,4.16E-01,9.00E-03,1.24E-01,4.10E-03,9.80E-03
596,4.17E-01,7.30E-03,6.87E-02,4.10E-03,9.20E-03
597,4.19E-01,5.70E-03,4.02E-02,4.10E-03,8.70E-03
598,4.20E-01,4.50E-03,2.09E-02,4.10E-03,8.20E-03
599,4.22E-01,3.50E-03,1.23E-02,4.10E-03,7.70E-03
600,4.24E-01,2.80E-03,6.60E-03,4.10E-03,7.20E-03
601,4.27E-01,2.20E-03,4.00E-03,4.10E-03,6.60E-03
